"id" "author" "year" "sex" "type" "dose" "cases" "n" "rr" "lb" "ub" "logrr" "se"
"27" 7 "Goldbohm" 2011 "Men" "ir" 342 2131 4088 1.02 0.95 1.09 0.0198026272961797 0.0350697746777381
"30" 9 "Soedamah-Muthu" 2013 "Both" "ci" 147 86 1502 1 1 1 0 0
"31" 9 "Soedamah-Muthu" 2013 "Both" "ci" 294 80 1501 0.98 0.72 1.34 -0.0202027073175195 0.158465585550193
"32" 9 "Soedamah-Muthu" 2013 "Both" "ci" 441 71 1519 0.89 0.64 1.25 -0.116533816255952 0.1707762640597
"33" 10 "Dik" 2014 "Both" "ci" 12 351 965 1 1 1 0 0
"34" 10 "Dik" 2014 "Both" "ci" 86 373 970 1.05 0.9 1.23 0.048790164169432 0.0796888839555533
"35" 10 "Dik" 2014 "Both" "ci" 221 394 993 1.04 0.89 1.22 0.0392207131532813 0.0804567526466891
"36" 10 "Dik" 2014 "Both" "ci" 366 407 931 1.21 1.03 1.43 0.19062035960865 0.0837045079956586
"37" 11 "Yang" 2014 "Both" "ir" 0 262 4895 1 1 1 0 0
"38" 11 "Yang" 2014 "Both" "ir" 154 204 3771 1.01 0.84 1.23 0.00995033085316809 0.0972894296878113
"39" 11 "Yang" 2014 "Both" "ir" 231 237 4293 0.99 0.82 1.19 -0.0100503358535015 0.0950028288235788
"40" 11 "Yang" 2014 "Both" "ir" 369 246 4280 0.95 0.79 1.15 -0.0512932943875506 0.0957885652129326
"41" 12 "Michaëlsson" 2014 "Women" "ir" 100 5422 476485 1 1 1 0 0
"42" 12 "Michaëlsson" 2014 "Women" "ir" 300 5830 444724 1.33 1.28 1.39 0.285178942233662 0.0210319347348675
"43" 12 "Michaëlsson" 2014 "Women" "ir" 500 3150 229648 1.91 1.8 2.03 0.647103242058538 0.0306763616831959
"44" 12 "Michaëlsson" 2014 "Women" "ir" 700 1139 80961 2.62 2.38 2.89 0.963174317773006 0.049530505655317
"45" 13 "Michaëlsson" 2014 "Men" "ir" 100 3468 221381 1 1 1 0 0
"46" 13 "Michaëlsson" 2014 "Men" "ir" 300 2501 127248 1.01 0.95 1.05 0.00995033085316809 0.0255319636856667
"47" 13 "Michaëlsson" 2014 "Men" "ir" 500 2347 103049 1.06 0.99 1.12 0.0582689081239758 0.0314748184491406
"48" 13 "Michaëlsson" 2014 "Men" "ir" 700 1796 82415 1.09 1 1.18 0.0861776962410524 0.0422238469132928
"49" 14 "Wang" 2015 "Women" "ir" 0 2137 174369 1 1 1 0 0
"50" 14 "Wang" 2015 "Women" "ir" 7 594 60289 0.999 0.91 1.05 -0.00100050033358353 0.0365059880613712
"51" 14 "Wang" 2015 "Women" "ir" 31 1215 129819 0.98 0.91 1.05 -0.0202027073175195 0.0365059880613712
"52" 14 "Wang" 2015 "Women" "ir" 73 1206 140474 0.91 0.85 0.98 -0.0943106794712413 0.0363058258475226
"53" 14 "Wang" 2015 "Women" "ir" 146 4420 421483 0.96 0.91 1.01 -0.0408219945202552 0.026597685250037
"54" 15 "Wang" 2015 "Men" "ir" 0 2813 136234 1 1 1 0 0
"55" 15 "Wang" 2015 "Men" "ir" 7 951 56739 0.92 0.86 0.99 -0.083381608939051 0.0359120256778895
"56" 15 "Wang" 2015 "Men" "ir" 31 1669 97564 0.91 0.85 0.96 -0.0943106794712413 0.0310457069460076
"57" 15 "Wang" 2015 "Men" "ir" 73 1547 92624 0.89 0.84 0.96 -0.116533816255952 0.0340647567194605
"58" 15 "Wang" 2015 "Men" "ir" 146 5223 254225 0.93 0.89 0.98 -0.0725706928348354 0.0245747140504314
