"id" "author" "year" "type" "dose" "cases" "n" "logrr" "se"
"50" 12 "Lopez-Garcia et al." 2008 "ir" 0.0165 362 319326 0 0
"51" 12 "Lopez-Garcia et al." 2008 "ir" 0.302 362 247470 0.0582689081239758 0.0747861066878588
"52" 12 "Lopez-Garcia et al." 2008 "ir" 0.85 868 609374 -0.0100503358535015 0.0644364164899262
"53" 12 "Lopez-Garcia et al." 2008 "ir" 2.5 563 563666 -0.287682072451781 0.0675236107722148
"54" 12 "Lopez-Garcia et al." 2008 "ir" 4.5 151 172583 -0.415515443961666 0.100265966354492
"55" 12 "Lopez-Garcia et al." 2008 "ir" 6.5 62 60180 -0.210721031315653 0.140960517841519
"56" 13 "Happonen et al." 2008 "ir" 1.5 81 1336 0 0
"57" 13 "Happonen et al." 2008 "ir" 0 18 384 -0.22314355131421 0.269165096104176
"58" 13 "Happonen et al." 2008 "ir" 3.5 141 2787 -0.0408219945202552 0.144775757000647
"59" 13 "Happonen et al." 2008 "ir" 5.5 87 1991 -0.116533816255952 0.168724102613614
"60" 13 "Happonen et al." 2008 "ir" 7.5 17 462 -0.174353387144778 0.285518259150726
"61" 14 "DeKoning Gans et al." 2010 "ir" 0.5 33.15286 120645.016 0 0
"62" 14 "DeKoning Gans et al." 2010 "ir" 2 43.79744 172600.768 -0.0796824808963267 0.23020370915999
"63" 14 "DeKoning Gans et al." 2010 "ir" 4.505 55.44855 245819.252 -0.197417448568571 0.219536478397737
"64" 14 "DeKoning Gans et al." 2010 "ir" 5.21 19.60971 74370.178 -0.0413067995192099 0.284878018667394
"65" 16 "Sugiyama et al." 2010 "ir" 0 64 31959 0 0
"66" 16 "Sugiyama et al." 2010 "ir" 0.495 117 65962 0.0861776962410524 0.165263261313241
"67" 16 "Sugiyama et al." 2010 "ir" 1.5 68 58813 -0.162518929497775 0.200722618529915
"68" 16 "Sugiyama et al." 2010 "ir" 3.5 35 31422 -0.127833371509885 0.231918939386618
"69" 17 "Sugiyama et al." 2010 "ir" 0 50 37138 0 0
"70" 17 "Sugiyama et al." 2010 "ir" 0.495 51 77154 -0.579818495252942 0.222150091274846
"71" 17 "Sugiyama et al." 2010 "ir" 1.5 33 68003 -0.7339691750802 0.258859899154951
"72" 17 "Sugiyama et al." 2010 "ir" 3.5 8 20477 -0.798507696217772 0.418111406805011
"73" 18 "Leurs et al. " 2010 "ir" 1 137.00492 2862.016 0 0
"74" 18 "Leurs et al. " 2010 "ir" 3.05 336.63493 7969.754 -0.125145169782191 0.101337090535954
"75" 18 "Leurs et al. " 2010 "ir" 5.05 255.62665 5873.334 -0.0951950264347286 0.105879888853092
"76" 18 "Leurs et al. " 2010 "ir" 7.05 109.81475 1916.235 0.179941810776558 0.12808064237906
"77" 19 "Leurs et al. " 2010 "ir" 1 148.49386 5892.027 0 0
"78" 19 "Leurs et al. " 2010 "ir" 3.05 261.56273 13676.711 -0.275963932157614 0.102747612530027
"79" 19 "Leurs et al. " 2010 "ir" 5.05 130.50857 7937.234 -0.427069511628684 0.119983720057518
"80" 19 "Leurs et al. " 2010 "ir" 7.05 39.37061 1789.574 -0.13590151342885 0.179256139102997
"81" 22 "Mineharu et al." 2011 "ir" 0.035 822 145683 0 0
"82" 22 "Mineharu et al." 2011 "ir" 0.535 450 116260 -0.342490308946776 0.15154496885605
"83" 22 "Mineharu et al." 2011 "ir" 1.5 326 102867 -0.174353387144778 0.111284889483397
"84" 22 "Mineharu et al." 2011 "ir" 3.5 83 39378 0.157003748809665 0.210887391118487
"85" 23 "Mineharu et al." 2011 "ir" 0.035 850 239297 0 0
"86" 23 "Mineharu et al." 2011 "ir" 0.535 307 164307 -0.139262067333508 0.174757645491665
"87" 23 "Mineharu et al." 2011 "ir" 1.5 233 166699 -0.261364764134408 0.149945577781153
"88" 23 "Mineharu et al." 2011 "ir" 3.5 46 36295 0.832909122935104 0.28603437893313
"89" 24 "Freedman et al." 2012 "ci" 0 808.06047 35367.783 0 0
"90" 24 "Freedman et al." 2012 "ci" 0.5 1613.20941 69183.849 0.0203778539784476 0.0430969230559666
"91" 24 "Freedman et al." 2012 "ci" 0.995 1516.61229 68121.672 -0.02589664214313 0.0435525657173061
"92" 24 "Freedman et al." 2012 "ci" 2.5 2369.82219 132238.735 -0.242874303693453 0.0407362733930967
"93" 24 "Freedman et al." 2012 "ci" 4.5 1108.85193 57754.027 -0.173948231136321 0.0462524305844198
"94" 24 "Freedman et al." 2012 "ci" 6.5 448.45199 21740.206 -0.102197301676271 0.0588837475507386
"95" 25 "Freedman et al." 2012 "ci" 0 557.03693 37973.002 0 0
"96" 25 "Freedman et al." 2012 "ci" 0.495 875.41025 56598.267 0.0529581327747341 0.0541980372755048
"97" 25 "Freedman et al." 2012 "ci" 1 829.13775 61881.165 -0.0905856480016852 0.0547829848310476
"98" 25 "Freedman et al." 2012 "ci" 2.5 1338.26991 109169.106 -0.179521241339743 0.0504217414520372
"99" 25 "Freedman et al." 2012 "ci" 4.5 433.85643 36225.25 -0.202798791586612 0.0640310371251445
"100" 25 "Freedman et al." 2012 "ci" 6.5 152.91021 13259.359 -0.240608809886198 0.0912945248311323
